date,aqi,pm2_5,pm10,no2,so2,co,o3,water_quality_index,noise_level_db
2009-01-01,166.9138256344935,88.61054927109558,175.2356843685318,38.80987957622604,14.954946941103378,0.5989845407197901,24.35181836904661,69.9088651344328,71.90957407687071
2009-01-02,186.64435517785137,29.480829106498504,56.533507132653185,55.77122288694106,44.942010390687805,4.46327319030584,71.72591277460593,70.94807276099878,76.53900916725783
2009-01-03,273.71370372862475,48.176222201767324,56.4618074646172,33.7941401176839,9.261887812856289,2.014998164635369,111.54889339608414,45.11459513445729,46.86532662312971
2009-01-04,288.89131164450663,120.54861482453335,95.1288243045087,72.763829287421,28.728039777890388,3.886079123491672,89.11029511963001,73.20992973172903,49.70237683629007
2009-01-05,168.13269707500274,17.900497392307305,197.3969770182901,79.84084305023401,20.72711953958151,4.369235694892362,46.60263422684098,70.27368173258685,84.36228964106934
2009-01-06,269.7111601181696,96.80125787637826,87.57865198715538,77.62362927254364,12.388721163023831,1.2432292429295217,32.79957568364316,56.73689937712046,78.556464541673
2009-01-07,167.49005228178166,47.81687339553893,126.92309000993144,43.66068291689146,12.640908358463648,3.0734276008148247,25.111378626678707,49.9453681050023,49.76172375783668
2009-01-08,150.88886780557448,58.01800248432675,120.8103002116809,56.406952489593074,18.845246935646998,0.5770053475666608,31.325968522928765,31.15781016041386,67.39682518736245
2009-01-09,212.12296416314786,71.10984246474104,190.46638005324004,41.57289660765029,11.408363663688037,1.4969873455437943,89.1953667726967,50.49101233333904,66.70245837373858
2009-01-10,188.20527178392675,132.3459518067556,164.2082725958932,17.192830848077477,42.11150462242051,4.110780583676245,108.84417123418315,37.008567467801356,79.91652993513642
2009-01-11,219.10827526078293,86.2250659352399,34.123812931852974,30.030629864944842,33.91339951534797,3.890210952374394,36.61563985597697,44.702312076974266,51.15643571801001
2009-01-12,241.90482032917103,34.08952469043524,179.21749795436787,11.69256468675676,17.32806964677968,4.80083313624698,70.61122736075782,67.29197680774408,51.04692225969368
2009-01-13,183.37679647404957,22.531220359852625,172.0373630187028,77.35183403279564,15.275824420552103,4.357838314151103,117.74575193244766,57.17941480961786,57.4237961059765
2009-01-14,224.16655775547048,115.72986465463826,187.1785554936069,68.78997313551757,26.12598723290591,0.5126307623875574,63.07710093552579,81.40730543393211,70.26832607556328
2009-01-15,296.9463015971624,121.0149749593657,188.32471876030328,76.98825359604217,21.592746141569386,3.8166840640874238,32.466687147337176,60.24682159992594,65.68494074407067
2009-01-16,175.3810121851817,105.6147409015044,52.335022544898166,34.237182338627136,34.58267139314769,3.38981259582368,63.79360538944043,57.95289456336039,46.13828243723791
2009-01-17,214.65825979465092,134.0141087136082,125.59824839164935,20.58305937236787,16.89739285775682,1.0973603385685258,82.39031388202321,68.4170399549312,66.58295157798894
2009-01-18,240.68998921952246,119.91680436669526,76.33505336639024,14.931446513042438,28.127669092692706,1.4980875229770896,113.46643289819649,43.24297201256937,57.12914084292326
2009-01-19,222.11887548726784,66.12710071118916,61.72649151829186,33.38232329764716,45.348744713485935,2.2226708313491024,95.5991461554649,47.540388653130734,84.2244808596361
2009-01-20,234.36308200717923,82.28056930361824,141.59264757899075,57.19808179157012,42.59428519434717,0.6629172048665145,100.0456591120971,46.13266337231131,48.66361100284515
2009-01-21,148.87446558352244,81.0460294264791,121.72903567326787,74.53809977059211,28.774684166431115,1.5711513326668782,92.95114037674234,63.435396361462836,53.12446757160687
2009-01-22,208.48526006077498,68.9260890733813,95.17974865585043,24.841950847333855,15.854266473423076,3.2370467377828067,98.69229412132236,84.91892859969792,81.42404894976929
